"l","a","b","u"
0.19,0.4512,0.028,3.07259863727735
0.29,0.4512,0.028,2.35370307613397
0.39,0.4512,0.028,1.91202306633778
0.49,0.4512,0.028,1.58909548709437
0.59,0.4512,0.028,1.29205730110466
0.69,0.4512,0.028,1.45450882413375
0.79,0.4512,0.028,2.46207136262011
0.89,0.4512,0.028,3.98198683263143
0.09,0.5512,0.028,2.84443362544148
0.19,0.5512,0.028,1.95392241123915
0.29,0.5512,0.028,1.23502685009577
0.39,0.5512,0.028,0.793346840299583
0.49,0.5512,0.028,0.470419261056168
0.59,0.5512,0.028,0.173381075066459
0.69,0.5512,0.028,0.335832598095553
0.79,0.5512,0.028,1.34339513658191
0.89,0.5512,0.028,2.86331060659323
0.09,-0.4488,0.128,2.1789102853585
0.19,-0.4488,0.128,1.28839907115618
0.29,-0.4488,0.128,0.569503510012791
0.39,-0.4488,0.128,0.127823500216607
0.49,-0.4488,0.128,-0.195104079026808
0.59,-0.4488,0.128,-0.492142265016517
0.69,-0.4488,0.128,-0.329690741987423
0.79,-0.4488,0.128,0.67787179649893
0.89,-0.4488,0.128,2.19778726651025
0.09,-0.3488,0.128,2.55977208853167
0.19,-0.3488,0.128,1.66926087432934
0.29,-0.3488,0.128,0.950365313185957
0.39,-0.3488,0.128,0.508685303389773
0.49,-0.3488,0.128,0.185757724146358
0.59,-0.3488,0.128,-0.11128046184335
0.69,-0.3488,0.128,0.0511710611857437
0.79,-0.3488,0.128,1.0587335996721
0.89,-0.3488,0.128,2.57864906968342
0.09,-0.2488,0.128,3.05135129517566
0.19,-0.2488,0.128,2.16084008097334
0.29,-0.2488,0.128,1.44194451982995
0.39,-0.2488,0.128,1.00026451003376
0.49,-0.2488,0.128,0.67733693079035
0.59,-0.2488,0.128,0.380298744800641
0.69,-0.2488,0.128,0.542750267829735
0.79,-0.2488,0.128,1.55031280631609
0.89,-0.2488,0.128,3.07022827632741
0.09,-0.1488,0.128,3.718958794656
0.19,-0.1488,0.128,2.82844758045368
0.29,-0.1488,0.128,2.10955201931029
