"l","a","b","u"
0.89,0.1512,-0.072,2.90855961032433
0.09,0.2512,-0.072,3.74072544926842
0.19,0.2512,-0.072,1.95662202831328
0.29,0.2512,-0.072,0.760137479676964
0.39,0.2512,-0.072,0.505922820343317
0.49,0.2512,-0.072,0.616757645956192
0.59,0.2512,-0.072,0.523298860851593
0.69,0.2512,-0.072,0.619584025474073
0.79,0.2512,-0.072,1.36596318736681
0.89,0.2512,-0.072,2.52465568635894
0.09,0.3512,-0.072,3.33557669875621
0.19,0.3512,-0.072,1.55147327780107
0.29,0.3512,-0.072,0.354988729164751
0.39,0.3512,-0.072,0.100774069831104
0.49,0.3512,-0.072,0.211608895443979
0.59,0.3512,-0.072,0.11815011033938
0.69,0.3512,-0.072,0.214435274961861
0.79,0.3512,-0.072,0.960814436854602
0.89,0.3512,-0.072,2.11950693584673
0.09,0.4512,-0.072,3.13584981667121
0.19,0.4512,-0.072,1.35174639571606
0.29,0.4512,-0.072,0.155261847079748
0.39,0.4512,-0.072,-0.0989528122538992
0.49,0.4512,-0.072,0.0118820133589759
0.59,0.4512,-0.072,-0.0815767717456228
0.69,0.4512,-0.072,0.0147083928768577
0.79,0.4512,-0.072,0.761087554769599
0.89,0.4512,-0.072,1.91978005376173
0.09,0.5512,-0.072,3.07543138315399
0.19,0.5512,-0.072,1.29132796219885
0.29,0.5512,-0.072,0.0948434135625322
0.39,0.5512,-0.072,-0.159371245771115
0.49,0.5512,-0.072,-0.0485364201582401
0.59,0.5512,-0.072,-0.141995205262839
0.69,0.5512,-0.072,-0.0457100406403583
0.79,0.5512,-0.072,0.700669121252383
0.89,0.5512,-0.072,1.85936162024451
0.09,-0.4488,0.028,1.42674560263986
0.19,-0.4488,0.028,-0.357357818315288
0.29,-0.4488,0.028,-1.5538423669516
0.39,-0.4488,0.028,-1.80805702628525
0.49,-0.4488,0.028,-1.69722220067238
0.59,-0.4488,0.028,-1.79068098577697
0.69,-0.4488,0.028,-1.69439582115449
0.79,-0.4488,0.028,-0.948016659261752
0.89,-0.4488,0.028,0.210675839730374
0.09,-0.3488,0.028,1.83094338361335
0.19,-0.3488,0.028,0.0468399626582099
0.29,-0.3488,0.028,-1.14964458597811
0.39,-0.3488,0.028,-1.40385924531175
0.49,-0.3488,0.028,-1.29302441969888
0.59,-0.3488,0.028,-1.38648320480348
0.69,-0.3488,0.028,-1.290198040181
0.79,-0.3488,0.028,-0.543818878288254
0.89,-0.3488,0.028,0.614873620703872
0.09,-0.2488,0.028,2.38513380717303
0.19,-0.2488,0.028,0.601030386217884
0.29,-0.2488,0.028,-0.595454162418431
0.39,-0.2488,0.028,-0.849668821752078
0.49,-0.2488,0.028,-0.738833996139203
0.59,-0.2488,0.028,-0.832292781243802
0.69,-0.2488,0.028,-0.736007616621321
0.79,-0.2488,0.028,0.0103715452714197
0.89,-0.2488,0.028,1.16906404426355
0.09,-0.1488,0.028,3.16314665552492
0.19,-0.1488,0.028,1.37904323456977
0.29,-0.1488,0.028,0.182558685933457
0.39,-0.1488,0.028,-0.0716559734001905
0.49,-0.1488,0.028,0.0391788522126846
0.59,-0.1488,0.028,-0.0542799328919141
0.69,-0.1488,0.028,0.0420052317305664
0.79,-0.1488,0.028,0.788384393623307
0.89,-0.1488,0.028,1.94707689261543
0.09,-0.0488,0.028,3.9341602693545
0.19,-0.0488,0.028,2.15005684839935
0.29,-0.0488,0.028,0.953572299763038
0.39,-0.0488,0.028,0.699357640429391
0.49,-0.0488,0.028,0.810192466042266
0.59,-0.0488,0.028,0.716733680937667
0.69,-0.0488,0.028,0.813018845560148
0.79,-0.0488,0.028,1.55939800745289
0.89,-0.0488,0.028,2.71809050644502
0.09,0.0512,0.028,4.39119012896711
0.19,0.0512,0.028,2.60708670801197
0.29,0.0512,0.028,1.41060215937566
0.39,0.0512,0.028,1.15638750004201
0.49,0.0512,0.028,1.26722232565488
